@relation,restaurants.symbolic

@attribute Alternate {True, False}
@attribute Bar {True, False}
@attribute Fri/Sat {True, False}
@attribute Hungry {True, False}
@attribute Patrons {None, Some, Full}
@attribute Price {$,$,$}
@attribute Raining {True, False}
@attribute Reservation {True, False}
@attribute Type {French, Thai, Burger, Italian}
@attribute WaitEstimate {0-10,10-30,30-60}
@attribute WillWait {Yes,No}

@data
Yes,No,No,Yes,Some,$$$,No,Yes,French,0–10,Yes
Yes,No,No,Yes,Full,$,No,No,Thai,30–60,No
No,Yes,No,No,Some,$,No,No,Burger,0–10,Yes
Yes,No,Yes,Yes,Full,$,Yes,No,Thai,10–30,Yes
Yes,No,Yes,No,Full,$$$,No,Yes,French,>60,No
No,Yes,No,Yes,Some,$$,Yes,Yes,Italian,0–10,Yes
No,Yes,No,No,None,$,Yes,No,Burger,0–10,No
No,No,No,Yes,Some,$$,Yes,Yes,Thai,0–10,Yes
No,Yes,Yes,No,Full,$,Yes,No,Burger,>60,No
Yes,Yes,Yes,Yes,Full,$$$,No,Yes,Italian,10–30,No
Yes,Yes,Yes,Yes,Full,$,No,No,Burger,30–60,Yes
